slot_id,priority_tier,status,category,preferred_source,actual_source,decision_version,decided_at,selected_candidate,implemented,file_path
home-cover-01,A,shortlisted,1,wikimedia,wikimedia,,,,false,
eat-hub-hero-01,A,blocked-no-candidates,5,unsplash,,,,,false,
stay-hub-hero-01,A,blocked-no-candidates,6,unsplash,,,,,false,
wine-hub-hero-01,A,shortlisted,2,wikimedia,wikimedia,,,,false,
explore-hub-hero-01,A,shortlisted,1,wikimedia,wikimedia,,,,false,
escape-hub-hero-01,A,blocked-no-candidates,11,unsplash,,,,,false,
journal-hub-hero-01,A,blocked-no-candidates,12,generative,,,,,false,
places-hub-hero-01,A,shortlisted,1,wikimedia,wikimedia,,,,false,
place-red-hill-01,A,shortlisted,2,visit-victoria,wikimedia,,,,false,
place-cape-schanck-01,A,shortlisted,1,wikimedia,wikimedia,,,,false,
place-sorrento-01,A,planned,1,wikimedia,,,,,false,
place-flinders-01,A,planned,1,wikimedia,,,,,false,
place-merricks-01,A,planned,2,visit-victoria,,,,,false,
place-point-nepean-01,A,planned,1,wikimedia,,,,,false,
journal-long-lunch-01,A,planned,3,unsplash,,,,,false,
journal-red-hill-saturday-01,A,planned,10,wikimedia,,,,,false,
journal-late-afternoon-walks-01,A,planned,1,wikimedia,,,,,false,
journal-two-night-escape-01,A,planned,6,unsplash,,,,,false,
eat-tedesca-osteria-01,A,planned,5,venue-media-kit,,,,,false,
eat-laura-pt-leo-01,A,planned,5,venue-media-kit,,,,,false,
eat-montalto-01,A,planned,5,venue-media-kit,,,,,false,
eat-paringa-estate-01,A,planned,5,venue-media-kit,,,,,false,
eat-polperro-01,A,planned,5,venue-media-kit,,,,,false,
eat-pt-leo-estate-01,A,planned,1,venue-media-kit,,,,,false,
eat-quealy-winemakers-01,A,planned,2,venue-media-kit,,,,,false,
eat-stillwater-crittenden-01,A,planned,5,venue-media-kit,,,,,false,
eat-ten-minutes-by-tractor-01,A,planned,5,venue-media-kit,,,,,false,
stay-jackalope-01,A,planned,6,venue-media-kit,,,,,false,
stay-lindenderry-01,A,planned,6,unsplash,,,,,false,
stay-flinders-hotel-01,A,planned,6,venue-media-kit,,,,,false,
stay-hotel-sorrento-01,A,planned,6,wikimedia,,,,,false,
stay-the-continental-sorrento-01,A,planned,6,venue-media-kit,,,,,false,
wine-montalto-01,A,planned,2,venue-media-kit,,,,,false,
wine-paringa-estate-01,A,planned,2,venue-media-kit,,,,,false,
wine-polperro-01,A,planned,2,venue-media-kit,,,,,false,
explore-bushrangers-bay-walk-01,A,planned,1,wikimedia,,,,,false,
explore-cape-schanck-boardwalk-01,A,planned,1,wikimedia,,,,,false,
explore-point-nepean-fort-walk-01,A,planned,1,wikimedia,,,,,false,
explore-sorrento-back-beach-01,A,planned,1,wikimedia,,,,,false,
explore-red-hill-market-01,A,planned,10,wikimedia,,,,,false,
escape-flinders-and-cape-reset-01,A,planned,1,unsplash,,,,,false,
escape-ridge-to-sea-two-night-escape-01,A,planned,11,unsplash,,,,,false,
home-feature-01,A,planned,3,unsplash,,,,,false,
home-this-weekend-strip-01,A,planned,11,generative,,,,,false,
newsletter-block-bg-01,A,planned,12,generative,,,,,false,
journal-feature-01,A,planned,3,unsplash,,,,,false,
eat-hub-secondary-01,A,planned,3,unsplash,,,,,false,
stay-hub-secondary-01,A,planned,6,unsplash,,,,,false,
explore-hub-secondary-01,A,planned,1,unsplash,,,,,false,
wine-hub-secondary-01,A,planned,2,unsplash,,,,,false,
